year,soe,total_arrivals,rank,gender,arrivals
2020,Johor,3391945,1,Female,1399398
2020,Johor,3391945,1,Male,1992547
2020,Selangor,1619117,2,Female,680566
2020,Selangor,1619117,2,Male,938551
2020,Sarawak,297383,3,Female,119994
2020,Sarawak,297383,3,Male,177389
2020,Kedah,289242,4,Female,115749
2020,Kedah,289242,4,Male,173493
2020,Perlis,161218,5,Female,54942
2020,Perlis,161218,5,Male,106276
2021,Kedah,215047,1,Female,580
2021,Kedah,215047,1,Male,214467
2021,Selangor,133015,2,Female,39405
2021,Selangor,133015,2,Male,93610
2021,Perlis,100921,3,Female,2387
2021,Perlis,100921,3,Male,98534
2021,Sarawak,9907,4,Female,351
2021,Sarawak,9907,4,Male,9556
2021,Johor,8627,5,Female,2175
2021,Johor,8627,5,Male,6452
2022,Johor,9374160,1,Female,4006454
2022,Johor,9374160,1,Male,5367706
2022,Selangor,3252445,2,Female,1246175
2022,Selangor,3252445,2,Male,2006270
2022,Sarawak,628152,3,Female,282955
2022,Sarawak,628152,3,Male,345197
2022,Kedah,537127,4,Female,189489
2022,Kedah,537127,4,Male,347638
2022,Perlis,437251,5,Female,153770
2022,Perlis,437251,5,Male,283481
2023,Johor,17211075,1,Female,7672634
2023,Johor,17211075,1,Male,9538441
2023,Selangor,7553241,2,Female,3156816
2023,Selangor,7553241,2,Male,4396425
2023,Sarawak,1659515,3,Female,759912
2023,Sarawak,1659515,3,Male,899603
2023,Kedah,1067038,4,Female,474950
2023,Kedah,1067038,4,Male,592088
2023,Pulau Pinang,1033007,5,Female,549304
2023,Pulau Pinang,1033007,5,Male,483703
2024,Johor,17744548,1,Female,8040953
2024,Johor,17744548,1,Male,9703595
2024,Selangor,8299628,2,Female,3846474
2024,Selangor,8299628,2,Male,4453154
2024,Sarawak,1998341,3,Female,927481
2024,Sarawak,1998341,3,Male,1070860
2024,Pulau Pinang,1036729,4,Female,556269
2024,Pulau Pinang,1036729,4,Male,480460
2024,Kedah,828510,5,Female,386145
2024,Kedah,828510,5,Male,442365
